label,eiaid,name,utility,source,zipcode,state,latitude,longitude,notes
539fcaebec4f024d2f5400de,2633,Demand Commercial,"City of Bushnell, Florida (Utility Company)",http://www.cityofbushnellfl.com/Documents/Resident/Utility%20Customer%20Forms/UB%20Rate%20Schedule.pdf,,FL,,,Note: Minimum billed Demand kW = 50
5894ebb45457a397253dbec0,14610,Wireless Internet Electric Service,Orlando Utilities Comm,http://www.ouc.com/docs/rates---elctric-water-meter/res_er_ouc_rate_tariff.pdf?sfvrsn=2,32804,FL,28.5754,-81.3955,Un-metered electric service required for wireless Internet devices with monthly energy usage of no more than 100 kWh per device. Rate is available to customers having a minimum of ten (10) Internet device delivery points. This is an optional rate to general service customers upon request.
58b860a05457a38359fbf84a,3522,Large General Primary Service,Chugach Electric Assn Inc,http://www.chugachelectric.com/customer-service/rate-information,99611,AK,60.6145,-151.2546,
58b867ce5457a3d603fbf84a,3522,Large General Secondary Service Rates,Chugach Electric Assn Inc,http://www.chugachelectric.com/customer-service/rate-information,99611,AK,60.6145,-151.2546,
58f9105c5457a33a08156660,55936,Large Power High Load Factor Service (LPHLF-G),Entergy Gulf States Louisiana LLC,http://www.entergy-louisiana.com/content/price/tariffs/GS/ell_elec_LPHLF-g.pdf,,LA,,,"This Rate is available to Customers of Entergy Louisiana, LLC ('ELL' or the 'Company'),
for which the point of interconnection with ELL is located within the Legacy EGSL Service
Area, or any qualifying Customers of ELL for which the point of interconnection is located
outside of the Legacy EGSL Service Area. For a Customer having a point of
interconnection outside of the Legacy EGSL Service Area to qualify to take Service under
this schedule, the Customer must (1) have a minimum new firm load (or increase in firm
load) of 500 kW; (2) execute a new Electric Service Agreement, or execute an
amendment to an existing Electric Service Agreement to reflect the increase in firm load
for billing purposes; and (3) in the case of an existing Customer increasing firm load
under (1), above, that does not receive the Economic Development Rider incentive in
conjunction with the increased firm load, that existing Customer must provide the
Company with a notarized affidavit in conjunction with executing its new (or amended)
Electric Service Agreement that contains (i) a statement that the existing Customer is
adding at least 500 kW of new firm load, and (ii) a brief written description of the
project(s) or process(es) causing that increase in firm load."
58ff858f5457a3e552cd3b45,10000,"Large General Space Heating Service - Primary, over 1000kW (Schedule LGA)",Kansas City Power & Light Co,https://www.kcpl.com/-/media/indexedmedia/my_bill/ks/detailed_tariffs_ks/102315ksdtlargegeneralservicespaceheating.pdf?la=en,66214,KS,38.9649,-94.7209,"Applicable to multiple-occupancy buildings when the tenants or occupants of the building are furnished with
electric service on a rent inclusion basis and the customer qualifies under Sections 9.03 - 9.08 of the
Company's General Rules and Regulations pertaining to Metering.
Customers with more than one class of service connected on or after the effective date of this tariff will be
biUed separately for each class of service."
58ffadd95457a3e254cd3b49,10000,"Small General Space Heating Service - Secondary, over 25kW (Schedule SGA)",Kansas City Power & Light Co,https://www.kcpl.com/-/media/indexedmedia/my_bill/ks/detailed_tariffs_ks/102315ksdtsmallgeneralservicespaceheating.pdf?la=en,66214,KS,38.9649,-94.7209,"Applicable to multiple-occupancy buildings when the tenants or occupants of the building are furnished
with electric service on a rent inclusion basis and !he customer qualifies under Sections 9.03 - 9.08 of the
Company's General Rules and Regulations pertaining to Metering.
Customers with more than one class of service connected on or after the effective date of this tariff will be
billed separately for each class of service."
59020abd5457a3a850cd3b42,10000,Medium General Space Heating Service - Secondary (MGA),Kansas City Power & Light Co,https://www.kcpl.com/-/media/indexedmedia/my_bill/ks/detailed_tariffs_ks/102315ksdtlargegeneralservicespaceheating.pdf?la=en,66214,KS,38.9649,-94.7209,"Applicable to multiple-occupancy buildings when the tenants or occupants of the building are furnished with
electric service on a rent inclusion basis and the customer qualifies under Sections 9.03 - 9.08 of the
Company's General Rules and Regulations pertaining to Metering."
59020c175457a39d50cd3b42,10000,Medium General Space Heating Service - Primary (MGA),Kansas City Power & Light Co,https://www.kcpl.com/-/media/indexedmedia/my_bill/ks/detailed_tariffs_ks/102315ksdtmediumgeneralservicespaceheating.pdf?la=en,66214,KS,38.9649,-94.7209,"Applicable to multiple-occupancy buildings when the tenants or occupants of the building are furnished
with electric service on a rent inclusion basis and the customer qualifies under Sections 9.03 - 9.08 of the
Company's General Rules and Regulations pertaining to Metering."
5902161d5457a30d57cd3b42,10000,"Small General Space Heating Service - Primary, over 25kW (Schedule SGA)",Kansas City Power & Light Co,https://www.kcpl.com/-/media/indexedmedia/my_bill/ks/detailed_tariffs_ks/102315ksdtsmallgeneralservicespaceheating.pdf?la=en,66214,KS,38.9649,-94.7209,
590218d15457a3eb55cd3b42,10000,"Large General Space Heating Service - Secondary, over 1000kW (Schedule LGA)",Kansas City Power & Light Co,https://www.kcpl.com/-/media/indexedmedia/my_bill/ks/detailed_tariffs_ks/102315ksdtlargegeneralservicespaceheating.pdf?la=en,66214,KS,38.9649,-94.7209,
59023f625457a37065cd3b42,12698,General Service Primary Voltage Time-of-Day -Frozen (GMO),KCP&L Greater Missouri Operations,https://www.kcpl.com/-/media/indexedmedia/my_bill/mo/detailed_tariffs_mo/electric_rates_and_tariffs/gmo_electric_rates_tariffs_0329_2017.pdf?la=en,64759,MO,37.5191,-94.3364,"This schedule is available to all general service customers at their request. The customer
agrees to provide access to a telephone line for transmitting data from the meter. All customers
accepting service under this schedule must remain on this schedule for at least one (1) year."
590242f25457a3fd55cd3b42,12698,General Service - Secondary Voltage Time-of-Use -Frozen (GMO),KCP&L Greater Missouri Operations,https://www.kcpl.com/-/media/indexedmedia/my_bill/mo/detailed_tariffs_mo/electric_rates_and_tariffs/gmo_electric_rates_tariffs_0329_2017.pdf?la=en,64759,MO,37.5191,-94.3364,"This schedule is available to all general service customers at their request. The customer agrees to
provide access to a telephone line for transmitting data from the meter. All customers accepting
service under this schedule must remain on this schedule for at least one (1) year."
5903766f5457a33207cd3b43,5860,Miscellaneous Service (Schedule MS),Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,This schedule is available for electric service to signal systems or similar unmetered service and to temporary or seasonal use
590377825457a3ff07cd3b42,5860,"General Power Service, over 40kW (Schedule GP)",Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,"This schedule is available for electric service to any general service Customer except those who are conveying electric service
received to others whose utilization of same is purely for residential purposes other than transient or seasonal. Motels, hotels, inns,
resorts, etc., and others who provide transient rooms and board service or room service and/or provide service to dwellings on a
transient or seasonal basis are not excluded from the use of this rate. The Company reserves the right to determine the applicability
or the availability of this rate to any specific applicant for electric service."
5903799d5457a3d010cd3b42,5860,"Large Commercial/Industrial Total Electric Building Service, over 40kW (Schedule TEB)",Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,"This schedule is available to any general services customers on the lines of the Company for total electric service except those
customers who are conveying electric service to others whose utilization of the same is for residential purposes other than transient
or seasonal. Motels, hotels, inns, etc., and others who provide transient room and/or room and board service and/or provide service
to dwellings on a transient or seasonal basis are not excluded from the use of this rate. The Company reserves the right to
determine the applicability or the availability of this rate to any specific applicant for electric service."
59037f065457a3c410cd3b42,5860,"Large Industrial Service, over 1000 kW (Schedule LP)",Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,"This schedule is available for electric service to any general service Customer except those who are conveying electric
service received to others whose utilization of same is for residential purposes other than transient or seasonal. Motels,
hotels, inns, resorts, etc., and others who provide transient room and board service or room service and/or provide service to
dwellings on a transient or seasonal basis are not excluded from the use of this rate. The Company reserves the right to
determine the applicability or the availability of this rate to any specific applicant for electric service."
59039ac35457a33518cd3b46,5860,"General Power Commercial/Industrial Service, over 40 kW (Schedule GP) Time of Use",Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,"This schedule is available for electric service to any general service Customer except those who are conveying electric service
received to others whose utilization of same is purely for residential purposes other than transient or seasonaL Motels, hotels, inns,
resorts, etc., and others who provide transient rooms and board service or room service and/or provide service to dwellings on a
transient or seasonal basis are not excluded from the use of this rate. The Company reserves the right to determine the applicability
or the availability of this rate to any specific applicant for electric service."
5903a1d05457a3f318cd3b46,5860,"Large Commercial/Industrial Total Electric Building Service, over 40kW (Schedule TEB) Time of Use",Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,"This schedule is available to any general services customers on the lines of the Company for total electric service except those
customers who are conveying electric service to others whose utilization of the same is for residential purposes other than transient
or seasonal. Motels, hotels, inns, etc., and others who provide transient room and/or room and board service and/or provide service
to dwellings on a transient or seasonal basis are not excluded from the use of this rate. The Company reserves the right to
determine the applicability or the availability of this rate to any specific applicant for electric service."
5903a32a5457a3f318cd3b47,5860,"Large Industrial Service, over 1000kW (Schedule LP) Time of Use",Empire District Electric Co (Missouri),https://www.empiredistrict.com/CustomerService/Rates/Electric/MO,72734,AR,36.2652,-94.4751,"This schedule is available for electric service to any general service Customer except those who are conveying electric
service received to others whose utilization of same is for residential purposes other than transient or seasonal. Motels,
hotels, inns, resorts, etc., and others who provide transient room and board service or room service and/or provide service to
dwellings on a transient or seasonal basis are not excluded from the use of this rate. The Company reserves the right to
determine the applicability or the availability of this rate to any specific applicant for electric service."
5903b55a5457a32d2ccd3b42,7601,Rate 15: Cable Television Rate,Green Mountain Power Corp,http://www.greenmountainpower.com/wp-content/uploads/2016/09/Rate-15-Cable-Television-10.1.16-1.pdf,05141,VT,43.1515,-72.5604,"Service under this rate is available for all companies, partnerships, or individuals furnishing cable television service over coaxial cables attached to poles by one or more public utilities."
5903b68e5457a3eb30cd3b42,7601,Rate 17: Controlled Water Heating Service,Green Mountain Power Corp,http://www.greenmountainpower.com/wp-content/uploads/2016/09/Rate-17-Controlled-Water-Heating-10.1.16-1.pdf,05141,VT,43.1515,-72.5604,Rate 17 service is separately metered to the customer's electric water heater. Customers can save money on water heating costs by allowing GMP to shut the water heater off at critical times. Customers pay a lower kWh rate in return for this limited service. Most customers on this rate class have either limited hot water needs or have large storage tanks to maintain available hot water during periods when GMP has limited service.
5908bba45457a316275789ff,19791,Rate 3: Industrial Rate-Firm Primary,"Vermont Electric Cooperative, Inc.",http://www.vermontelectric.coop/images/pdf/vec-tariff-effective-01-01-2017-rev1.pdf,05458,VT,44.7197,-73.3056,"This rate is available to members whose metered demand meets or exceeds 500 kilowatts for two consecutive months. If a customer's metered demand falls below 500 kW for eleven months after the last month in which the customer's kW usage equals or exceeds 500 kW, the customer will no longer be eligible to take service under this classification. This rate is not available for stand-by service.

The monthly billing demand shall be the greater of (a) the highest measured fifteen-minute demand in kilowatts during the billing period, (b) 80% of the highest demand during the preceding eleven months, or (c) one-half of the highest measured fifteen-minute demand in kilowatts during the off-peak hours (set forth below).

For purpose of this tariff, the on-peak billing period is defined as 6:00 a.m. to 10:00 p.m., Monday through Friday. The off-peak billing hours are those not designated as on-peak billing hours."
5908bcd35457a3d2545789ff,19791,Rate 3: Industrial Rate-Firm Sub- transmission,"Vermont Electric Cooperative, Inc.",http://www.vermontelectric.coop/images/pdf/vec-tariff-effective-01-01-2017-rev1.pdf,05458,VT,44.7197,-73.3056,"This rate is available to members whose metered demand meets or exceeds 500 kilowatts for two consecutive months. If a customer's metered demand falls below 500 kW for eleven months after the last month in which the customer's kW usage equals or exceeds 500 kW, the customer will no longer be eligible to take service under this classification. This rate is not available for stand-by service.

The monthly billing demand shall be the greater of (a) the highest measured fifteen-minute demand in kilowatts during the billing period, (b) 80% of the highest demand during the preceding eleven months, or (c) one-half of the highest measured fifteen-minute demand in kilowatts during the off-peak hours (set forth below).

Applicable to customers whose metered demand meets or exceeds 500 kilowatts for two
consecutive months.
Not applicable to stand-by service.
If a customer's metered demand falls below 500 kW for eleven months after the last month in
which the customer's kW usage equals or exceeds 500 kW, the customer will no longer be
eligible to take service under this classification."
590b37f15457a3db125789ff,9601,School Load Management Service,Jackson Electric Member Corp,http://www.jacksonemc.com/sites/default/files/slms-17_final.pdf,30622,GA,33.934,-83.5055,"Applicable to all electric service for state, county, city and private schools which offer regular elementary,
middle, high school or college courses, of one standard voltage required on the customers' premises at one point and
metered at or compensated to that voltage. No service rendered hereunder may be resold, nor transmitted to other
premises, either directly or indirectly, without the express consent of the Cooperative."
590ce8795457a386735789ff,13809,Rate 23: Commercial Water Heating,NorthWestern Energy,http://www.northwesternenergy.com/account-services/whats-included-in-your-total-bill/tariffs-and-rates/south-dakota-tariffs-and-rates,,,,,"This rate schedule is available for separately metered commercial water heating
(excluding tankless water heaters) service to customers being furnished service pursuant to
another Company filed rate schedule."
590ce8f85457a359755789ff,13809,Rate 24: Commercial Space Heating and Cooling,NorthWestern Energy,http://www.northwesternenergy.com/account-services/whats-included-in-your-total-bill/tariffs-and-rates/south-dakota-tariffs-and-rates,,,,,"This schedule is available to commercial customers for electric service used for space
heating purposes, or for a combination space heating and cooling installation (heat pump). All
other electric usage by the customer must be separately metered and billed pursuant to another
Company filed tariff schedule. Service under this schedule shall be single phase or three phase
where three phase is available."
590ce9945457a36b795789ff,13809,Rate 25 All-Inclusive Commercial Service,NorthWestern Energy,http://www.northwesternenergy.com/account-services/whats-included-in-your-total-bill/tariffs-and-rates/south-dakota-tariffs-and-rates,,,,,"This rate schedule is available to commercial customers for all use through one meter
provided that the use includes any or all of the following services: (1) space heating, (2)
cooking, and (3) water heating (excluding tankless water heaters); and provided further that any
one or all of the above uses represents the major portion of the connected load and annual
consumption."
590cea415457a3e340578a00,13809,Rate 33: Commercial and Industrial Service,NorthWestern Energy,http://www.northwesternenergy.com/account-services/whats-included-in-your-total-bill/tariffs-and-rates/south-dakota-tariffs-and-rates,,,,,"This rate schedule is available to non-residential customers for general commercial or
industrial electric service."
590ceb0f5457a303525789ff,13809,Rate 34: Large Commercial and Industrial Service,NorthWestern Energy,http://www.northwesternenergy.com/account-services/whats-included-in-your-total-bill/tariffs-and-rates/south-dakota-tariffs-and-rates,,,,,This rate schedule is available for commercial and industrial users of electric service
590cebe75457a3e340578a01,13809,Rate 70: Controlled Off Peak Service,NorthWestern Energy,http://www.northwesternenergy.com/account-services/whats-included-in-your-total-bill/tariffs-and-rates/south-dakota-tariffs-and-rates,,,,,"This schedule is for electric service to all customers for the purpose of electric use
during off-peak periods where said loads do not represent a replacement of similar on-peak
loads. This schedule is not available for Irrigation or Highway, Street, and Area Lighting."
5925a6645457a3e77dde90e0,12199,Rate 30 General Electric Service Rate (Primary),Montana-Dakota Utilities Co (North Dakota),https://www.montana-dakota.com/docs/default-source/rates-tariffs/ndElectric30,59313,MT,46.3552,-104.2667,"In all communities served for all types of demand metered general electric service except outside lighting, stand by, resale or other customers covered by special contracts or rate schedules applicable to specific services. The customer's wiring must be arranged so that all service can be measured through one meter. If the customer does not connect his wiring into a single system, each meter shall constitute a separate billing unit."
5925a88c5457a3730ede90e0,12199,Rate 30 General Electric Service Rate (Secondary),Montana-Dakota Utilities Co (North Dakota),"http://www.montana-dakota.com/docs/default-source/rates-tariffs/NDElectric30
http://www.montana-dakota.com/rates-and-services/rates-tariffs",59313,MT,46.3552,-104.2667,"In all communities served for all types of demand metered general electric service except outside lighting, stand by, resale or other customers covered by special contracts or rate schedules applicable to specific services. The customer's wiring must be arranged so that all service can be measured through one meter. If the customer does not connect his wiring into a single system, each meter shall constitute a separate billing unit"
5925a9985457a37c0cde90e0,12199,General Electric Service Rate 31 Optional TOD - Secondary,Montana-Dakota Utilities Co (North Dakota),http://www.montana-dakota.com/docs/default-source/rates-tariffs/NDElectric31,59313,MT,46.3552,-104.2667,"-Secondary
In all communities served for all types of demand metered general electric service except outside lighting, standby, resale, or other customers covered by special contracts or rate schedules applicable to specific services."
5925ab115457a3e87fde90e0,12199,General Electric Service Rate 31 Optional TOD - Primary,Montana-Dakota Utilities Co (North Dakota),http://www.montana-dakota.com/docs/default-source/rates-tariffs/NDElectric31,59313,MT,46.3552,-104.2667,"-Secondary
In all communities served for all types of demand metered general electric service except outside lighting, standby, resale, or other customers covered by special contracts or rate schedules applicable to specific services."
5925acf65457a3e47dde90e1,12199,Rate 32 General Electric Space Heating Service (Primary),Montana-Dakota Utilities Co (North Dakota),http://www.montana-dakota.com/docs/default-source/rates-tariffs/NDElectric32,59313,MT,46.3552,-104.2667,"In all communities served for space heating service, where the customer also takes service under another general service rate schedule offered by the Company. Space heating equipment, including combination space heating and cooling equipment such as heat pumps and packaged roof-top heating/cooling units where heating use is the principal load may be served under this rate schedule."
5925adfb5457a3e47dde90e2,12199,Rate 32 General Electric Space Heating Service (Secondary),Montana-Dakota Utilities Co (North Dakota),http://www.montana-dakota.com/docs/default-source/rates-tariffs/NDElectric32,59313,MT,46.3552,-104.2667,"In all communities served for space heating service, where the customer also takes service under another general service rate schedule offered by the Company.Space heating equipment, including combination space heating and cooling equipment such as heat pumps and packaged roof-top heating/cooling units where heating use is the principal load may be served under this rate schedule"
5925f4a45457a35916de90e0,12199,Rate 30 Large General Electric Service-Primary Service,Montana-Dakota Utilities Co (South Dakota),https://www.montana-dakota.com/docs/default-source/rates-tariffs/sdElectric30,59313,MT,46.3552,-104.2667,"* Availability:
In all communities served for all types of non-residential service exceeding 50 kilowatts of billing demand, except outside lighting, standby, resale or other customers covered by special contracts. The customer's wiring must be so arranged that all service can be measured through one meter. If the customer does not connect his wiring into a single system, each meter shall constitute a separate billing unit.

* Discount for Primary Service:
A five percent discount shall be allowed if the customer provides his #d0
own transformers, related equipment and distribution facilities down- #d0
stream of the meter, satisfactory to the Company, so that he can receive #d0
service and be metered at primary voltages of 2,400 volts or greater."
5925f6835457a3a825de90e2,12199,Rate 30 Large General Electric Service-Secondary Service,Montana-Dakota Utilities Co (South Dakota),https://www.montana-dakota.com/docs/default-source/rates-tariffs/sdElectric30,59313,MT,46.3552,-104.2667,"* Availability: In all communities served for all types of non-residential service exceeding 50 kilowatts of billing demand, except outside lighting, standby, resale or other customers covered by special contracts. The customer's wiring must be so arranged that all service can be measured through one meter. If the customer does not connect his wiring into a single system, each meter shall constitute a separate billing unit. * Discount for Primary Service: A five percent discount shall be allowed if the customer provides his #d0 own transformers, related equipment and distribution facilities down- #d0 stream of the meter, satisfactory to the Company, so that he can receive #d0 service and be metered at primary voltages of 2,400 volts or greater."
5925f6d35457a35b37de90e0,12199,Rate 33 Optional Time-of-Day Large General Electric Service Secondary Voltage,Montana-Dakota Utilities Co (South Dakota),https://www.montana-dakota.com/docs/default-source/rates-tariffs/sdElectric33,59313,MT,46.3552,-104.2667,"* AVAILABILITY:
In all communities served for all types of non-residential service exceeding 50 kilowatts of billing demand, except outside lighting, standby, resale or other customers covered by special contracts. The customer's wiring must be so arranged that all service can be measured through one meter.

* PRIMARY SERVICE: &#x;f8e6
Primary service shall be defined as those customer's providing their own &#x;f8e6
transformers, related equipment, and distribution facilities downstream &#x;f8e6
of the meter, satisfactory to the Company, so that they can receive &#x;f8e6
service and be metered at primary voltages of 2,400 volts or greater."
5925fea75457a30036de90e2,12199,Special General Controlled (Electric Service Rate 22),Montana-Dakota Utilities Co (Wyoming),http://www.montana-dakota.com/docs/default-source/rates-tariffs/WYElectricRateSummarySheet,59313,MT,46.3552,-104.2667,"Service shall be provided through a separate meter serving approved controlled
facilities with no provision for connecting other loads thereto. The customer's
backup system controls or equipment controls shall be served as firm load.
Unless otherwise specified by the Company, the point of delivery and service
voltage for this service shall be the same as for any other electric service
provided to the customers."
592600515457a3f73ede90e0,12199,Large General Electric Service Rate 39 Secondary Service,Montana-Dakota Utilities Co (Wyoming),https://www.montana-dakota.com/docs/default-source/rates-tariffs/wYElectric39,59313,MT,46.3552,-104.2667,"LABILITY:
In all communities served for all types of general electric service exceeding 50
kilowatts of billing demand, except customers covered by special contracts. The
customer's wiring must be so arranged that all service can be measured through
one meter. If the customer does not connect his wiring into a single system,
each meter shall constitute a separate billing unit."
592600f85457a3f73ede90e1,12199,Large General Electric Service Rate 39 Primary Service,Montana-Dakota Utilities Co (Wyoming),"http://www.montana-dakota.com/docs/default-source/rates-tariffs/WYElectricRateSummarySheet
http://www.montana-dakota.com/rates-and-services/rates-tariffs",59313,MT,46.3552,-104.2667,"In all communities served for all types of general electric service exceeding 50
kilowatts of billing demand, except customers covered by special contracts. The
customer's wiring must be so arranged that all service can be measured through
one meter. If the customer does not connect his wiring into a single system,
each meter shall constitute a separate billing unit."
592601f75457a3b126de90e1,12199,Small General Electric Service rate 20 (Demand Metered; Non-Demand),Montana-Dakota Utilities Co (Wyoming),https://www.montana-dakota.com/docs/default-source/rates-tariffs/wyElectric20,59313,MT,46.3552,-104.2667,"In all communities served for all types of general electric service with billing
demands of 50 kilowatts or less, except customers covered by special contracts,
or other rate schedules applicable to specific services. The customer's wiring
must be so arranged that all service can be measured through one meter. If the
customer does not connect his wiring into a single system, each meter shall
constitute a separate billing unit."
5926032b5457a3ea28de90e2,12199,Small General Electric Service rate 20 (Demand Metered; Primary),Montana-Dakota Utilities Co (Wyoming),https://www.montana-dakota.com/docs/default-source/rates-tariffs/wyElectric20,59313,MT,46.3552,-104.2667,"In all communities served for all types of general electric service with billing
demands of 50 kilowatts or less, except customers covered by special contracts,
or other rate schedules applicable to specific services. The customer's wiring
must be so arranged that all service can be measured through one meter. If the
customer does not connect his wiring into a single system, each meter shall
constitute a separate billing unit."
592daf9d5457a36c0b71c251,11843,Maui-SCHEDULE P LARGE POWER SERVICE,Maui Electric Co Ltd,http://www.mauielectric.com/vcmcontent/FileScan/PDF/EnergyServices/Tarrifs/MECO/MauiRatesSchP.pdf,96742,HI,21.1929,-156.9835,
592dd8b45457a3507071c252,11843,"Lanai-SCHEDULE ""J"" General Service Demand- Single Phase",Maui Electric Co Ltd,https://www.mauielectric.com/Documents/my_account/rates/maui_electric_rates_lanai/lanai_rates_sch_j.pdf,96742,HI,21.1929,-156.9835,
592dd96d5457a3b13271c252,11843,"Lanai-SCHEDULE ""J"" General Service Demand- Three Phase",Maui Electric Co Ltd,https://www.mauielectric.com/Documents/my_account/rates/maui_electric_rates_lanai/lanai_rates_sch_j.pdf,96742,HI,21.1929,-156.9835,
592dd9fe5457a3fe2571c254,11843,"Lanai-SCHEDULE ""P"" Large Power Service",Maui Electric Co Ltd,https://www.mauielectric.com/Documents/my_account/rates/maui_electric_rates_lanai/lanai_rates_sch_p.pdf,96742,HI,21.1929,-156.9835,
592de17f5457a3507071c254,11843,Lanai-SCHEDULE TOU-P LARGE POWER TIME-OF-USE SERVICE,Maui Electric Co Ltd,https://www.mauielectric.com/Documents/my_account/rates/maui_electric_rates_lanai/lanai_rates_sch_tou_p.pdf,96742,HI,21.1929,-156.9835,
592deb075457a35c4f71c252,11843,"Molokai-SCHEDULE ""P"" Large Power Service",Maui Electric Co Ltd,https://www.mauielectric.com/Documents/my_account/rates/maui_electric_rates_molokai/molokai_rates_sch_p.pdf,96742,HI,21.1929,-156.9835,
592df0f25457a3084271c253,11843,Molokai-SCHEDULE TOU-P LARGE POWER TIME-OF-USE SERVICE,Maui Electric Co Ltd,https://www.mauielectric.com/Documents/my_account/rates/maui_electric_rates_molokai/molokai_rates_sch_tou_p.pdf,96742,HI,21.1929,-156.9835,"AVAILABILITY:
Applicable to large light and/or power service supplied and metered at a single voltage and delivery point. Loads must exceed 100 kW per month. This Schedule cannot be used in conjunction with load management Riders M, T, and I."
59484efb5457a3490275d087,1101,Commercial Electric,Bagley Public Utilities Comm,http://www.bagleymn.us/index.asp?Type=B_BASIC&SEC={1F447633-A6DA-40BB-8E51-883CBDFB6AD9},,,,,Commercial Electric
5964f0945457a3f4404c9f92,14006,General Service Secondary Bundled (GS-2),Ohio Power Co,https://www.aepohio.com/global/utilities/lib/docs/ratesandtariffs/Ohio/2015-12-31_AEP_Ohio_Standard_Tariff.pdf,44663,OH,40.4845,-81.4358,"Available for secondary general service to customers with maximum demands greater than or equal
to 10 KW but less than 8,000 KW."
